,Sample_ID,Year,Country,Continent,Azithromycin mic,Ciprofloxacin mic,Ceftriaxone mic,Cefixime mic,Azithromycin log mic,Ciprofloxacin log mic,Ceftriaxone log mic,Cefixime log mic,Azithromycin sr,Ciprofloxacin sr,Ceftriaxone sr,Cefixime sr
3304,SRR5827046,2015.0,New_Zealand,Oceania,0.06,0.002,0.004,0.016,-4.058893689,-8.965784285,-7.965784285,-5.965784285,0.0,0.0,0.0,0.0
3305,SRR5827041,2015.0,New_Zealand,Oceania,0.5,0.004,0.008,0.016,-1.0,-7.965784285,-6.965784285,-5.965784285,0.0,0.0,0.0,0.0
3306,SRR5827042,2015.0,New_Zealand,Oceania,0.25,0.004,0.004,0.008,-2.0,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
3307,SRR5827151,2015.0,New_Zealand,Oceania,0.25,0.004,0.004,0.004,-2.0,-7.965784285,-7.965784285,-7.965784285,0.0,0.0,0.0,0.0
3308,SRR5827150,2015.0,New_Zealand,Oceania,0.03,0.002,0.008,0.016,-5.058893689,-8.965784285,-6.965784285,-5.965784285,0.0,0.0,0.0,0.0
3309,SRR5827153,2015.0,New_Zealand,Oceania,0.12,0.004,0.004,0.008,-3.058893689,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
3310,SRR5827152,2015.0,New_Zealand,Oceania,0.12,0.004,0.004,0.008,-3.058893689,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
3311,SRR5827155,2015.0,New_Zealand,Oceania,0.12,4.0,0.008,0.016,-3.058893689,2.0,-6.965784285,-5.965784285,0.0,1.0,0.0,0.0
3312,SRR5827154,2015.0,New_Zealand,Oceania,0.25,0.004,0.016,0.03,-2.0,-7.965784285,-5.965784285,-5.058893689,0.0,0.0,0.0,0.0
3313,SRR5827157,2015.0,New_Zealand,Oceania,0.03,0.002,0.004,0.016,-5.058893689,-8.965784285,-7.965784285,-5.965784285,0.0,0.0,0.0,0.0
3314,SRR5827156,2015.0,New_Zealand,Oceania,0.25,4.0,0.03,0.03,-2.0,2.0,-5.058893689,-5.058893689,0.0,1.0,0.0,0.0
3315,SRR5827149,2015.0,New_Zealand,Oceania,0.06,0.004,0.004,0.008,-4.058893689,-7.965784285,-7.965784285,-6.965784285,0.0,0.0,0.0,0.0
